lat,lon,yaw,year,month
39.9950208486,-75.1678377596,101.148,2014,06
40.0322541674,-75.2134845663,51.643,2014,05
40.0140972219,-75.1277617463,278.127,2014,05
40.0457839495,-75.1252741252,98.721,2014,05
40.057330091,-75.018250731,269.518,2014,05
39.964216067,-75.175985776,313.618,2014,05
40.0683684574,-75.2430676662,47.107,2014,07
39.9699594952,-75.1687813211,189.54,2014,05
39.9811749337,-75.1411632214,285.11,2014,05
40.0513623155,-75.2297538012,240.04,2014,05
40.0229759813,-75.1167566304,98.177,2014,05
40.1036436243,-75.0033481916,227.395,2014,07
39.9066342579,-75.1380384107,103.066,2014,06
39.9945820807,-75.1433828656,9.059,2014,05
40.0635410155,-75.1451536525,26.337,2014,07
40.0733627962,-75.1690627718,221.941,2014,07
40.1046279431,-74.9969164729,304.107,2014,07
40.0577664152,-75.0727702039,128.99,2014,05
40.0137546499,-75.1891587983,47.269,2014,05
40.0207563195,-75.2057897513,79.698,2014,05
39.961735393,-75.1952793875,260.197,2014,05
40.099942099,-75.046193743,152.021,2014,07
39.9754735803,-75.1447298393,9.211,2014,05
40.0454197267,-75.1362113479,189.437,2014,05
40.0107643493,-75.0966757497,9.054,2014,05
39.9296945368,-75.1850911566,279.379,2014,05
40.0407495153,-75.0652796263,37.832,2014,05
40.1259002831,-75.0032771414,158.577,2014,07
39.9879008997,-75.0971143649,332.046,2014,05
39.9446385666,-75.1630854802,8.043,2014,05
40.0158045465,-75.1689614879,49.418,2014,06
40.0282667604,-75.0848003645,35.201,2014,06
39.9801557611,-75.179138544,10.003,2014,05
39.9470822779,-75.1883832086,224.452,2014,06
40.0802756546,-75.0296243066,216.084,2014,07
40.0129737936,-75.1044194201,8.352,2014,05
40.0344124539,-75.0462123101,126.974,2014,05
39.987406619,-75.1726209477,99.096,2014,06
39.9624442792,-75.1631461126,191.222,2014,05
39.9652303234,-75.2277067556,180.511,2014,05
40.0924530198,-75.0170861109,35.932,2014,07
40.0060909658,-75.108483322,8.128,2014,05
39.939636061,-75.203284783,287.834,2014,06
39.9597395033,-75.2452783539,188.149,2014,05
39.971355069,-75.158611771,277.686,2014,06
39.9430071653,-75.1428521242,8.585,2014,05
40.0483255691,-75.2382173191,329.048,2014,05
39.9788261169,-75.1109825034,53.961,2014,05
39.988227072,-75.180506778,7.154,2014,06
40.029851084,-75.055662741,218.661,2014,06
39.962293065,-75.236641795,6.54,2014,05
40.0441232045,-75.0810875671,35.9,2014,06
39.9770011086,-75.2764126833,57.696,2014,06
40.010058076,-75.194024784,119.203,2014,05
39.9896979151,-75.1341419305,277.518,2014,05
40.0694143591,-75.0821832042,356.313,2014,07
39.9773928167,-75.1834784411,9.549,2014,06
39.8995585247,-75.251839961,35.033,2014,05
39.9734880212,-75.2212631165,261.998,2014,05
40.1088388786,-75.0204776386,332.728,2014,07
40.1286798766,-75.0225645791,84.064,2014,07
40.0167205936,-75.1078221547,247.666,2014,05
40.0627774286,-75.0552581947,215.561,2014,05
40.0902417322,-75.019220703,35.797,2014,07
39.9553839855,-75.1940369563,278.814,2014,05
40.0326990698,-75.1911979898,239.431,2014,05
40.0289228889,-75.0404806326,55.388,2014,05
40.0249082199,-75.1273636394,79.037,2014,06
40.0227572924,-75.1783303985,138.85,2014,05
40.0399603186,-75.2186010873,240.775,2014,05
40.0671044885,-75.18366608,218.34,2014,07
39.9375334552,-75.1830765639,10.34,2014,05
40.0333275275,-75.178441485,306.386,2014,05
40.060967604,-75.1761311667,240.364,2014,05
39.9970669585,-75.178729823,102.904,2014,06
39.88667327,-75.2140482392,296.718,2014,06
39.9322640871,-75.1821931869,279.878,2014,05
40.0977973849,-74.9789009506,41.556,2014,07
40.02935608,-75.180466781,216.695,2014,05
40.0324329463,-75.0328163807,235.475,2014,05
40.0383975254,-75.026868298,161.181,2014,05
39.9094871221,-75.2490340078,136.758,2014,05
40.0648580937,-74.9867920033,63.216,2014,07
39.960385064,-75.227977792,278.39,2014,05
40.028243078,-75.219633793,240.158,2014,05
